237811;Africa: Eye To Eye With The Unknown (Blu-ray);BBC Home Video;34.98;NR;Documentary;2013-02-26
120659;Africa: The Serengeti: IMAX (Razor Digital Entertainment/ Blu-ray);Razor Digital Entertainment;19.98;NR;Documentary;2007-11-13
175329;African Queen (Paramount/ Blu-ray);Paramount;22.99;NR;Drama;2010-03-23
240534;African Queen (Paramount/ Blu-ray/ Checkpoint);Paramount;22.99;NR;Drama;2010-03-23
175338;African Queen (Paramount/ Commemorative Box Set/ Blu-ray);Paramount;57.99;NR;Drama;2010-03-23
240502;African Queen (Paramount/ Commemorative Box Set/ Blu-ray/ Checkpoint);Paramount;57.99;NR;Drama;2010-03-23
239033;African Queen (Warner Brothers/ Blu-ray);Warner Brothers;19.98;NR;Drama;2013-01-08
150835;Afro Samurai: Resurrection (Director's Cut/ Blu-ray);FUNimation;19.98;MA17;Anime;2009-02-03
179107;Afro Samurai: Seasons 1 & 2: Complete Murder Sessions (Uncut/ Blu-ray);FUNimation;39.98;MA17;Anime;2010-06-22
138634;Afro Samurai: Seasons 1 (Director's Cut/ Blu-ray);FUNimation;14.98;MA17;Anime;2008-08-26
250660;After Earth (DVD & Blu-ray Combo w/ Digital Copy);Sony Pictures;26.99;PG-13;SciFi;2013-10-08
182607;After Life (2009/ Blu-ray);Anchor Bay;19.99;R;Suspense/Thriller;2010-08-03
259075;After The Dark (Blu-ray);Phase 4 Films;29.99;R;SciFi;2014-04-15
265500;Aftermath (2012/ Blu-ray);Image;29.97;NR;Action/Adventure;2014-08-26
253226;Afternoon Delight (DVD & Blu-ray Combo);New Video;34.95;R;Comedy;2014-02-18
248154;Aftershock (2012/ Blu-ray);Anchor Bay;24.99;R;Horror;2013-08-06
196205;Against All Odds (Image/ Blu-ray);Image;17.97;R;Mystery/Suspense;2011-03-22
188325;Agatha Christie's Poirot: Murder On The Orient Express (Blu-ray);Acorn Media;29.99;NR;Mystery/Suspense;2010-10-26
218643;Agatha Christie's Poirot: Series 1 (Blu-ray);Acorn Media;49.99;NR;Mystery/Suspense;2012-01-31
251746;Agatha Christie's Poirot: Series 10 (Blu-ray): The Mystery Of The Blue Train / Card On The Table / After The Funeral / ...;Acorn Media;49.99;NR;Mystery/Suspense;2013-11-26
257558;Agatha Christie's Poirot: Series 11 (Blu-ray): Mrs. McGinty's Dead / Cat Among The Pigeons / Third Girl / Appointment With Death;Acorn Media;49.99;NR;Mystery/Suspense;2014-03-04
260768;Agatha Christie's Poirot: Series 12: Three Act Tragedy / Hallowe'en Party / Murder On The Orient Express / The Clocks (Blu-ray);Acorn Media;49.99;NR;Mystery/Suspense;2014-05-06
218647;Agatha Christie's Poirot: Series 2 (Blu-ray);Acorn Media;49.99;NR;Mystery/Suspense;2012-01-31
221489;Agatha Christie's Poirot: Series 3 (Blu-ray);Acorn Media;49.99;NR;Mystery/Suspense;2012-03-06
222717;Agatha Christie's Poirot: Series 4 (Blu-ray);Acorn Media;49.99;NR;Mystery/Suspense;2012-04-24
226866;Agatha Christie's Poirot: Series 5 (Blu-ray);Acorn Media;49.99;NR;Mystery/Suspense;2012-06-26
229102;Agatha Christie's Poirot: Series 6 (Blu-ray);Acorn Media;49.99;NR;Mystery/Suspense;2012-08-28
249433;Agatha Christie's Poirot: Series 7 & 8 (Blu-ray): The Murder Of Roger Ackroyd / Lord Edgware Dies / Evil Under The Sun / ...;Acorn Media;49.99;NR;Mystery/Suspense;2013-10-01
250565;Agatha Christie's Poirot: Series 9 (Blu-ray): Five Little Pigs / Sad Cypress / Death On The Nile / The Hollow;Acorn Media;49.99;NR;Mystery/Suspense;2013-10-29
233435;Agatha Christie's Poirot: The Early Cases Collection (Blu-ray/ 13-Disc): The Adventure Of The Clapham Cook / ...;Acorn Media;249.99;NR;Mystery/Suspense;2012-10-23
204769;Agatha Christie's Poirot: The Movie Collection, Set 6: Three Act Tragedy / The Clocks / Halloween Party (Blu-ray);Acorn Media;59.99;NR;Mystery/Suspense;2011-07-12
218775;Age Of Heroes (Blu-ray);E1 Entertainment;14.98;NR;War;2012-01-17
226582;Age Of The Dragons (Blu-ray);ARC Entertainment;20.99;PG-13;Fantasy;2012-07-24
226458;Age Of The Dragons (DVD & Blu-ray Combo);ARC Entertainment;20.99;PG-13;Fantasy;2012-07-24
234711;Age Of The Hobbits (Blu-ray);Asylum Home Entertainment;14.95;NR;Fantasy;2012-12-11
261438;Age Of Tomorrow (Blu-ray);Asylum Home Entertainment;19.93;NR;Action/Adventure;2014-06-10
265476;Age Of Uprising: The Legend Of Michael Kohlhaas (Blu-ray);Music Box Films;34.95;NR;Foreign;2014-08-26
192721;Age Tendre: La Tournee Des Idoles, Vol. 5 (Blu-ray);Sterne;81.98;NR;Music;2010-11-16
247464;Age of Dinosaurs (Blu-ray);Asylum Home Entertainment;14.93;NR;SciFi;2013-08-06
210438;Agent 8 3/4 (a.k.a. Hot Enough for June/ Blu-ray);VCI;24.97;NR;Comedy;2011-08-16
265651;Agents Of S.H.I.E.L.D: The Complete 1st Season (Blu-ray);Buena Vista;79.99;NR;TV Classics;2014-09-09
224444;Aggression Scale (Blu-ray);Anchor Bay;19.99;R;Action/Adventure;2012-05-29
229808;Agneepath (Blu-ray);Eros Entertainment;38.98;NR;Foreign;2012-06-19
257518;Agony And The Ecstasy (Blu-ray);Fox;24.99;NR;Drama;2014-03-04
235204;Ai Weiwei: Never Sorry (Blu-ray);IFC;29.98;R;Documentary;2012-12-04
250655;Ain't In It For My Health: A Film About Levon Helm (Blu-ray);Kino Lorber;29.95;NR;Documentary;2013-10-08
252854;Ain't Them Bodies Saints (Blu-ray);IFC;29.98;R;Drama;2013-12-17
168271;Air America (Blu-ray);Artisan;14.99;R;Action/Comedy;2009-11-24
220892;Air Collision (Blu-ray);Asylum Home Entertainment;24.95;NR;Action/Adventure;2012-03-27
189432;Air Force One (Blu-ray);Sony Pictures;19.99;R;Action/Adventure;2010-11-16
178392;Air Force One (Blu-ray) / In The Line Of Fire (Blu-ray);Sony Pictures;26.99;R;Action/Adventure;2010-06-01
157945;Air Force One (Blu-ray/ Old Version);Sony Pictures;19.99;R;Action/Adventure;2009-06-02
131674;Air I Breathe (Blu-ray);THINKFilm;17.97;R;Drama;2008-05-27
187371;Airborne Toxic Event: All I Ever Wanted: Live From The Walt Disney Concert Hall (Blu-ray);Universal Music International;21.98;NR;Music;2010-09-28
244101;Airheads (Anchor Bay/ Blu-ray);Anchor Bay;17.99;PG-13;Comedy;2013-05-28
193539;Airline Disaster (Echo Bridge/ Blu-ray);Echo Bridge;11.99;R;Action/Adventure;2011-02-01
248641;Airplane II: The Sequel (Warner Brothers/ Blu-ray);Warner Brothers;19.98;PG;Comedy;2013-10-08
260912;Airplane Vs. Volcano (Blu-ray);Asylum Home Entertainment;19.93;NR;Action/Adventure;2014-05-27
230389;Airplane! (Paramount/ Blu-ray);Paramount;21.99;PG;Comedy;2012-09-11
230375;Airplane! (Paramount/ Blu-ray/ Checkpoint);Paramount;21.99;PG;Comedy;2012-09-11
238924;Airplane! (Warner Brothers/ Blu-ray);Warner Brothers;14.97;PG;Comedy;2013-01-08
257413;Airplane! (Warner Brothers/ Blu-ray) / Airplane II: The Sequel (Blu-ray);Warner Brothers;19.98;PG;Comedy;2014-03-11
260778;Airport (Universal/ Blu-ray w/ Digital Copy);Universal;19.98;G;Action/Adventure;2014-05-06
229164;Airport (Universal/ DVD & Blu-ray Combo w/ Digital Copy);Universal;19.98;G;Action/Adventure;2012-09-04
183525;Ajami (Blu-ray);Kino;34.95;NR;Foreign;2010-08-24
151409;Akira (Bandai Entertainment/ Blu-ray);Bandai Entertainment;49.98;R;Anime;2009-02-24
251468;Akira (FUNimation/ 25th Anniversary Edition/ DVD & Blu-ray Combo);FUNimation;34.98;R;Anime;2013-11-12
219411;Al DiMeola: Morocco Fantasia (Blu-ray);in-akustick;13.99;NR;Music;2012-01-24
225315;Alabama Moon (Blu-ray);Team Marketing;24.99;PG;Family;2012-03-27
235694;Alain Platel: Choeurs (Blu-ray);Teatro Real;39.99;NR;Ballet;2012-10-30
222597;Alambrista! (Blu-ray);Criterion Collection;39.95;NR;Drama;2012-04-17
262051;Alan Partridge (Blu-ray);Magnolia Pictures;29.98;R;Comedy;2014-06-10
244225;Alanis Morissette: Live At Montreux 2012 (Blu-ray);Eagle Vision;19.98;NR;Music;2013-04-23
120653;Alaska: Spirit Of The Wild: IMAX (Magic Play/ Blu-ray);Magic Play;19.98;NR;Documentary;2007-11-13
228753;Albert Lee: Tearing It Up (Blu-ray);AIX Records;34.99;NR;Music;2012-06-26
224169;Albert Nobbs (Blu-ray);Lions Gate;14.99;R;Drama;2012-05-15
227952;Albino Alligator (Miramax Echo Bridge/ Blu-ray);Miramax Echo Bridge;14.99;R;Drama;2012-07-10
231273;Alcatraz: The Complete Series (Blu-ray w/ Digital Copy);Warner Brothers;49.99;NR;TV Classics;2012-10-16
255201;Alejandra Guzman: La Guzman En Primera Fila (Blu-ray);Sony Norte;21.98;NR;Music;2014-01-21
198088;Aleutians: Cradle Of The Storms: After The Classic Fur (Blu-ray);Magic Play;19.98;NR;Documentary;2011-04-12
